m1,m2,len,depth_oracles,depth_addition
0,2,1,298,523
0,3,2,720,399
0,4,3,173,821
0,5,4,607,274
0,6,5,506,708
0,7,6,914,607
0,8,7,85,1015
0,9,8,536,186
0,10,9,408,637
0,11,10,850,509
0,12,11,293,951
0,13,12,702,394
0,14,13,591,803
0,15,14,1033,692
0,16,15,38,1134
0,17,16,445,139
0,18,17,301,546
0,19,18,774,402
0,20,19,200,875
0,21,20,622,301
0,22,21,527,723
0,23,22,934,628
0,24,23,134,1035
0,25,24,542,235
0,26,25,439,643
0,27,26,856,540
0,28,27,325,957
0,29,28,771,426
0,30,29,630,872
0,31,30,1074,731
0,32,31,7,1175
0,33,32,436,108
0,34,33,292,537
0,35,34,740,393
0,36,35,173,841
0,37,36,612,274
0,38,37,465,713
0,39,38,913,566
0,40,39,92,1014
0,41,40,513,193
0,42,41,418,614
0,43,42,812,519
0,44,43,289,913
0,45,44,735,390
0,46,45,595,836
0,47,46,1011,696
0,48,47,42,1112
0,49,48,438,143
0,50,49,325,539
0,51,50,704,426
0,52,51,235,805
0,53,52,646,336
0,54,53,567,747
0,55,54,1011,668
0,56,55,128,1112
0,57,56,565,229
0,58,57,450,666
0,59,58,902,551
0,60,59,337,1003
0,61,60,772,438
0,62,61,670,873
0,63,62,1085,771
0,64,63,1,1186
0,65,64,436,102
0,66,65,307,537
0,67,66,737,408
0,68,67,197,838
0,69,68,630,298
0,70,69,504,731
0,71,70,939,605
0,72,71,85,1040
0,73,72,439,186
0,74,73,402,540
0,75,74,820,503
0,76,75,294,921
0,77,76,689,395
0,78,77,592,790
0,79,78,1043,693
0,80,79,38,1144
0,81,80,453,139
0,82,81,352,554
0,83,82,763,453
0,84,83,227,864
0,85,84,637,328
0,86,85,531,738
0,87,86,921,632
0,88,87,132,1022
0,89,88,556,233
0,90,89,453,657
0,91,90,870,554
0,92,91,327,971
0,93,92,766,428
0,94,93,640,867
0,95,94,1073,741
0,96,95,7,1174
0,97,96,434,108
0,98,97,312,535
0,99,98,765,413
0,100,99,182,866
0,101,100,600,283
0,102,101,483,701
0,103,102,920,584
0,104,103,92,1021
0,105,104,510,193
0,106,105,411,611
0,107,106,859,512
0,108,107,303,960
0,109,108,691,404
0,110,109,601,792
0,111,110,1040,702
0,112,111,42,1141
0,113,112,402,143
0,114,113,311,503
0,115,114,709,412
0,116,115,238,810
0,117,116,686,339
0,118,117,550,787
0,119,118,997,651
0,120,119,127,1098
0,121,120,518,228
0,122,121,462,619
0,123,122,831,563
0,124,123,336,932
0,125,124,726,437
0,126,125,651,827
0,127,126,1040,752
1,3,1,1142,523
1,4,2,595,399
1,5,3,1029,821
1,6,4,928,274
1,7,5,1336,708
1,8,6,507,607
1,9,7,958,1015
1,10,8,830,186
1,11,9,1272,637
1,12,10,715,509
1,13,11,1124,951
1,14,12,1013,394
1,15,13,1455,803
1,16,14,460,692
1,17,15,867,1134
1,18,16,723,139
1,19,17,1196,546
1,20,18,622,402
1,21,19,1044,875
1,22,20,949,301
1,23,21,1356,723
1,24,22,556,628
1,25,23,964,1035
1,26,24,861,235
1,27,25,1278,643
1,28,26,747,540
1,29,27,1193,957
1,30,28,1052,426
1,31,29,1496,872
1,32,30,429,731
1,33,31,858,1175
1,34,32,714,108
1,35,33,1162,537
1,36,34,595,393
1,37,35,1034,841
1,38,36,887,274
1,39,37,1335,713
1,40,38,514,566
1,41,39,935,1014
1,42,40,840,193
1,43,41,1234,614
1,44,42,711,519
1,45,43,1157,913
1,46,44,1017,390
1,47,45,1433,836
1,48,46,464,696
1,49,47,860,1112
1,50,48,747,143
1,51,49,1126,539
1,52,50,657,426
1,53,51,1068,805
1,54,52,989,336
1,55,53,1433,747
1,56,54,550,668
1,57,55,987,1112
1,58,56,872,229
1,59,57,1324,666
1,60,58,759,551
1,61,59,1194,1003
1,62,60,1092,438
1,63,61,1507,873
1,64,62,423,771
1,65,63,858,1186
1,66,64,729,102
1,67,65,1159,537
1,68,66,619,408
1,69,67,1052,838
1,70,68,926,298
1,71,69,1361,731
1,72,70,507,605
1,73,71,861,1040
1,74,72,824,186
1,75,73,1242,540
1,76,74,716,503
1,77,75,1111,921
1,78,76,1014,395
1,79,77,1465,790
1,80,78,460,693
1,81,79,875,1144
1,82,80,774,139
1,83,81,1185,554
1,84,82,649,453
1,85,83,1059,864
1,86,84,953,328
1,87,85,1343,738
1,88,86,554,632
1,89,87,978,1022
1,90,88,875,233
1,91,89,1292,657
1,92,90,749,554
1,93,91,1188,971
1,94,92,1062,428
1,95,93,1495,867
1,96,94,429,741
1,97,95,856,1174
1,98,96,734,108
1,99,97,1187,535
1,100,98,604,413
1,101,99,1022,866
1,102,100,905,283
1,103,101,1342,701
1,104,102,514,584
1,105,103,932,1021
1,106,104,833,193
1,107,105,1281,611
1,108,106,725,512
1,109,107,1113,960
1,110,108,1023,404
1,111,109,1462,792
1,112,110,464,702
1,113,111,824,1141
1,114,112,733,143
1,115,113,1131,503
1,116,114,660,412
1,117,115,1108,810
1,118,116,972,339
1,119,117,1419,787
1,120,118,549,651
1,121,119,940,1098
1,122,120,884,228
1,123,121,1253,619
1,124,122,758,563
1,125,123,1148,932
1,126,124,1073,437
1,127,125,1462,827
2,4,1,471,523
2,5,2,905,399
2,6,3,804,821
2,7,4,1212,274
2,8,5,383,708
2,9,6,834,607
2,10,7,706,1015
