m1,m2,len,depth_oracles,depth_addition
0,2,1,178,371
0,3,2,505,263
0,4,3,86,590
0,5,4,416,171
0,6,5,289,501
0,7,6,585,374
0,8,7,38,670
0,9,8,294,123
0,10,9,200,379
0,11,10,557,285
0,12,11,133,642
0,13,12,413,218
0,14,13,337,498
0,15,14,601,422
0,16,15,7,686
0,17,16,301,92
0,18,17,187,386
0,19,18,460,272
0,20,19,93,545
0,21,20,416,178
0,22,21,298,501
0,23,22,597,383
0,24,23,42,682
0,25,24,309,127
0,26,25,244,394
0,27,26,534,329
0,28,27,128,619
0,29,28,435,213
0,30,29,341,520
0,31,30,656,426
0,32,31,1,741
0,33,32,290,86
0,34,33,177,375
0,35,34,518,262
0,36,35,85,603
0,37,36,409,170
0,38,37,286,494
0,39,38,607,371
0,40,39,38,692
0,41,40,343,123
0,42,41,198,428
0,43,42,490,283
0,44,43,141,575
0,45,44,451,226
0,46,45,335,536
0,47,46,661,420
0,48,47,7,746
0,49,48,314,92
0,50,49,188,399
0,51,50,525,273
0,52,51,93,610
0,53,52,402,178
0,54,53,297,487
0,55,54,599,382
0,56,55,42,684
0,57,56,348,127
0,58,57,239,433
0,59,58,552,324
0,60,59,145,637
0,61,60,429,230
0,62,61,335,514
0,63,62,657,420
1,3,1,791,371
1,4,2,372,263
1,5,3,702,590
1,6,4,575,171
1,7,5,871,501
1,8,6,324,374
1,9,7,580,670
1,10,8,486,123
1,11,9,843,379
1,12,10,419,285
1,13,11,699,642
1,14,12,623,218
1,15,13,887,498
1,16,14,293,422
1,17,15,587,686
1,18,16,473,92
1,19,17,746,386
1,20,18,379,272
1,21,19,702,545
1,22,20,584,178
1,23,21,883,501
1,24,22,328,383
1,25,23,595,682
1,26,24,530,127
1,27,25,820,394
1,28,26,414,329
1,29,27,721,619
1,30,28,627,213
1,31,29,942,520
1,32,30,287,426
1,33,31,576,741
1,34,32,463,86
1,35,33,804,375
1,36,34,371,262
1,37,35,695,603
1,38,36,572,170
1,39,37,893,494
1,40,38,324,371
1,41,39,629,692
1,42,40,484,123
1,43,41,776,428
1,44,42,427,283
1,45,43,737,575
1,46,44,621,226
1,47,45,947,536
1,48,46,293,420
1,49,47,600,746
1,50,48,474,92
1,51,49,811,399
1,52,50,379,273
1,53,51,688,610
1,54,52,583,178
1,55,53,885,487
1,56,54,328,382
1,57,55,634,684
1,58,56,525,127
1,59,57,838,433
1,60,58,431,324
1,61,59,715,637
1,62,60,621,230
1,63,61,943,514
2,4,1,264,371
2,5,2,594,263
2,6,3,467,590
2,7,4,763,171
2,8,5,216,501
2,9,6,472,374
2,10,7,378,670
2,11,8,735,123
2,12,9,311,379
2,13,10,591,285
2,14,11,515,642
2,15,12,779,218
2,16,13,185,498
2,17,14,479,422
2,18,15,365,686
2,19,16,638,92
2,20,17,271,386
2,21,18,594,272
2,22,19,476,545
2,23,20,775,178
2,24,21,220,501
2,25,22,487,383
2,26,23,422,682
2,27,24,712,127
2,28,25,306,394
2,29,26,613,329
2,30,27,519,619
2,31,28,834,213
2,32,29,179,520
2,33,30,468,426
2,34,31,355,741
2,35,32,696,86
2,36,33,263,375
2,37,34,587,262
2,38,35,464,603
2,39,36,785,170
2,40,37,216,494
2,41,38,521,371
2,42,39,376,692
2,43,40,668,123
2,44,41,319,428
2,45,42,629,283
2,46,43,513,575
2,47,44,839,226
2,48,45,185,536
2,49,46,492,420
2,50,47,366,746
2,51,48,703,92
2,52,49,271,399
2,53,50,580,273
2,54,51,475,610
2,55,52,777,178
2,56,53,220,487
2,57,54,526,382
2,58,55,417,684
2,59,56,730,127
2,60,57,323,433
2,61,58,607,324
2,62,59,513,637
2,63,60,835,230
3,5,1,921,371
3,6,2,794,263
3,7,3,1090,590
3,8,4,543,171
3,9,5,799,501
3,10,6,705,374
3,11,7,1062,670
3,12,8,638,123
3,13,9,918,379
3,14,10,842,285
3,15,11,1106,642
3,16,12,512,218
3,17,13,806,498
3,18,14,692,422
3,19,15,965,686
3,20,16,598,92
3,21,17,921,386
3,22,18,803,272
3,23,19,1102,545
3,24,20,547,178
3,25,21,814,501
3,26,22,749,383
3,27,23,1039,682
3,28,24,633,127
3,29,25,940,394
3,30,26,846,329
3,31,27,1161,619
3,32,28,506,213
3,33,29,795,520
3,34,30,682,426
3,35,31,1023,741
3,36,32,590,86
3,37,33,914,375
3,38,34,791,262
3,39,35,1112,603
3,40,36,543,170
3,41,37,848,494
3,42,38,703,371
3,43,39,995,692
3,44,40,646,123
3,45,41,956,428
3,46,42,840,283
3,47,43,1166,575
3,48,44,512,226
3,49,45,819,536
3,50,46,693,420
3,51,47,1030,746
3,52,48,598,92
3,53,49,907,399
3,54,50,802,273
3,55,51,1104,610
3,56,52,547,178
3,57,53,853,487
3,58,54,744,382
3,59,55,1057,684
3,60,56,650,127
3,61,57,934,433
3,62,58,840,324
3,63,59,1162,637
4,6,1,375,371
4,7,2,671,263
4,8,3,124,590
4,9,4,380,171
4,10,5,286,501
4,11,6,643,374
4,12,7,219,670
4,13,8,499,123
4,14,9,423,379
4,15,10,687,285
4,16,11,93,642
4,17,12,387,218
4,18,13,273,498
4,19,14,546,422
4,20,15,179,686
4,21,16,502,92
4,22,17,384,386
4,23,18,683,272
4,24,19,128,545
4,25,20,395,178
4,26,21,330,501
4,27,22,620,383
4,28,23,214,682
4,29,24,521,127
4,30,25,427,394
4,31,26,742,329
4,32,27,87,619
4,33,28,376,213
4,34,29,263,520
4,35,30,604,426
4,36,31,171,741
4,37,32,495,86
4,38,33,372,375
4,39,34,693,262
4,40,35,124,603
4,41,36,429,170
4,42,37,284,494
4,43,38,576,371
4,44,39,227,692
4,45,40,537,123
4,46,41,421,428
4,47,42,747,283
4,48,43,93,575
4,49,44,400,226
4,50,45,274,536
4,51,46,611,420
4,52,47,179,746
4,53,48,488,92
4,54,49,383,399
4,55,50,685,273
4,56,51,128,610
4,57,52,434,178
4,58,53,325,487
4,59,54,638,382
4,60,55,231,684
4,61,56,515,127
4,62,57,421,433
4,63,58,743,324
5,7,1,1001,371
5,8,2,454,263
5,9,3,710,590
5,10,4,616,171
5,11,5,973,501
5,12,6,549,374
5,13,7,829,670
5,14,8,753,123
5,15,9,1017,379
5,16,10,423,285
5,17,11,717,642
5,18,12,603,218
5,19,13,876,498
5,20,14,509,422
5,21,15,832,686
5,22,16,714,92
5,23,17,1013,386
5,24,18,458,272
5,25,19,725,545
5,26,20,660,178
5,27,21,950,501
5,28,22,544,383
5,29,23,851,682
5,30,24,757,127
5,31,25,1072,394
5,32,26,417,329
5,33,27,706,619
5,34,28,593,213
5,35,29,934,520
5,36,30,501,426
5,37,31,825,741
5,38,32,702,86
5,39,33,1023,375
5,40,34,454,262
5,41,35,759,603
5,42,36,614,170
5,43,37,906,494
5,44,38,557,371
5,45,39,867,692
5,46,40,751,123
5,47,41,1077,428
5,48,42,423,283
5,49,43,730,575
5,50,44,604,226
5,51,45,941,536
5,52,46,509,420
5,53,47,818,746
5,54,48,713,92
5,55,49,1015,399
5,56,50,458,273
5,57,51,764,610
5,58,52,655,178
5,59,53,968,487
5,60,54,561,382
5,61,55,845,684
5,62,56,751,127
5,63,57,1073,433
6,8,1,327,371
6,9,2,583,263
6,10,3,489,590
6,11,4,846,171
6,12,5,422,501
6,13,6,702,374
6,14,7,626,670
6,15,8,890,123
6,16,9,296,379
6,17,10,590,285
6,18,11,476,642
6,19,12,749,218
6,20,13,382,498
6,21,14,705,422
6,22,15,587,686
6,23,16,886,92
6,24,17,331,386
6,25,18,598,272
6,26,19,533,545
6,27,20,823,178
6,28,21,417,501
6,29,22,724,383
6,30,23,630,682
6,31,24,945,127
6,32,25,290,394
6,33,26,579,329
6,34,27,466,619
6,35,28,807,213
6,36,29,374,520
6,37,30,698,426
6,38,31,575,741
6,39,32,896,86
6,40,33,327,375
6,41,34,632,262
6,42,35,487,603
6,43,36,779,170
6,44,37,430,494
6,45,38,740,371
6,46,39,624,692
6,47,40,950,123
6,48,41,296,428
6,49,42,603,283
6,50,43,477,575
6,51,44,814,226
6,52,45,382,536
6,53,46,691,420
6,54,47,586,746
6,55,48,888,92
6,56,49,331,399
6,57,50,637,273
6,58,51,528,610
6,59,52,841,178
6,60,53,434,487
6,61,54,718,382
6,62,55,624,684
6,63,56,946,127
7,9,1,879,371
7,10,2,785,263
7,11,3,1142,590
7,12,4,718,171
7,13,5,998,501
7,14,6,922,374
7,15,7,1186,670
7,16,8,592,123
7,17,9,886,379
7,18,10,772,285
7,19,11,1045,642
7,20,12,678,218
7,21,13,1001,498
7,22,14,883,422
7,23,15,1182,686
7,24,16,627,92
7,25,17,894,386
7,26,18,829,272
7,27,19,1119,545
7,28,20,713,178
7,29,21,1020,501
7,30,22,926,383
7,31,23,1241,682
7,32,24,586,127
7,33,25,875,394
7,34,26,762,329
7,35,27,1103,619
7,36,28,670,213
7,37,29,994,520
7,38,30,871,426
7,39,31,1192,741
7,40,32,623,86
7,41,33,928,375
7,42,34,783,262
7,43,35,1075,603
7,44,36,726,170
7,45,37,1036,494
7,46,38,920,371
7,47,39,1246,692
7,48,40,592,123
7,49,41,899,428
7,50,42,773,283
7,51,43,1110,575
7,52,44,678,226
7,53,45,987,536
7,54,46,882,420
7,55,47,1184,746
7,56,48,627,92
7,57,49,933,399
7,58,50,824,273
7,59,51,1137,610
7,60,52,730,178
7,61,53,1014,487
7,62,54,920,382
7,63,55,1242,684
8,10,1,238,371
8,11,2,595,263
8,12,3,171,590
8,13,4,451,171
8,14,5,375,501
8,15,6,639,374
8,16,7,45,670
8,17,8,339,123
8,18,9,225,379
8,19,10,498,285
8,20,11,131,642
8,21,12,454,218
8,22,13,336,498
8,23,14,635,422
8,24,15,80,686
8,25,16,347,92
8,26,17,282,386
8,27,18,572,272
8,28,19,166,545
8,29,20,473,178
8,30,21,379,501
8,31,22,694,383
8,32,23,39,682
8,33,24,328,127
8,34,25,215,394
8,35,26,556,329
8,36,27,123,619
8,37,28,447,213
8,38,29,324,520
8,39,30,645,426
8,40,31,76,741
8,41,32,381,86
8,42,33,236,375
8,43,34,528,262
8,44,35,179,603
8,45,36,489,170
8,46,37,373,494
8,47,38,699,371
8,48,39,45,692
8,49,40,352,123
8,50,41,226,428
8,51,42,563,283
8,52,43,131,575
8,53,44,440,226
8,54,45,335,536
8,55,46,637,420
8,56,47,80,746
8,57,48,386,92
8,58,49,277,399
8,59,50,590,273
8,60,51,183,610
8,61,52,467,178
8,62,53,373,487
8,63,54,695,382
9,11,1,851,371
9,12,2,427,263
9,13,3,707,590
9,14,4,631,171
9,15,5,895,501
9,16,6,301,374
9,17,7,595,670
9,18,8,481,123
9,19,9,754,379
9,20,10,387,285
9,21,11,710,642
9,22,12,592,218
9,23,13,891,498
9,24,14,336,422
9,25,15,603,686
9,26,16,538,92
9,27,17,828,386
9,28,18,422,272
9,29,19,729,545
9,30,20,635,178
9,31,21,950,501
9,32,22,295,383
9,33,23,584,682
9,34,24,471,127
9,35,25,812,394
9,36,26,379,329
9,37,27,703,619
9,38,28,580,213
9,39,29,901,520
9,40,30,332,426
9,41,31,637,741
9,42,32,492,86
9,43,33,784,375
9,44,34,435,262
9,45,35,745,603
9,46,36,629,170
9,47,37,955,494
9,48,38,301,371
9,49,39,608,692
9,50,40,482,123
9,51,41,819,428
9,52,42,387,283
9,53,43,696,575
9,54,44,591,226
9,55,45,893,536
9,56,46,336,420
9,57,47,642,746
9,58,48,533,92
9,59,49,846,399
9,60,50,439,273
9,61,51,723,610
9,62,52,629,178
9,63,53,951,487
10,12,1,333,371
10,13,2,613,263
10,14,3,537,590
10,15,4,801,171
10,16,5,207,501
10,17,6,501,374
10,18,7,387,670
10,19,8,660,123
10,20,9,293,379
10,21,10,616,285
10,22,11,498,642
10,23,12,797,218
10,24,13,242,498
10,25,14,509,422
10,26,15,444,686
10,27,16,734,92
10,28,17,328,386
10,29,18,635,272
10,30,19,541,545
10,31,20,856,178
10,32,21,201,501
10,33,22,490,383
10,34,23,377,682
10,35,24,718,127
10,36,25,285,394
10,37,26,609,329
10,38,27,486,619
10,39,28,807,213
10,40,29,238,520
10,41,30,543,426
10,42,31,398,741
10,43,32,690,86
10,44,33,341,375
10,45,34,651,262
10,46,35,535,603
10,47,36,861,170
10,48,37,207,494
10,49,38,514,371
10,50,39,388,692
10,51,40,725,123
10,52,41,293,428
10,53,42,602,283
10,54,43,497,575
10,55,44,799,226
10,56,45,242,536
10,57,46,548,420
10,58,47,439,746
10,59,48,752,92
10,60,49,345,399
10,61,50,629,273
10,62,51,535,610
10,63,52,857,178
11,13,1,970,371
11,14,2,894,263
11,15,3,1158,590
11,16,4,564,171
11,17,5,858,501
11,18,6,744,374
11,19,7,1017,670
11,20,8,650,123
11,21,9,973,379
11,22,10,855,285
11,23,11,1154,642
11,24,12,599,218
11,25,13,866,498
11,26,14,801,422
11,27,15,1091,686
11,28,16,685,92
11,29,17,992,386
11,30,18,898,272
11,31,19,1213,545
11,32,20,558,178
11,33,21,847,501
11,34,22,734,383
11,35,23,1075,682
11,36,24,642,127
11,37,25,966,394
11,38,26,843,329
11,39,27,1164,619
11,40,28,595,213
11,41,29,900,520
11,42,30,755,426
11,43,31,1047,741
11,44,32,698,86
11,45,33,1008,375
11,46,34,892,262
11,47,35,1218,603
11,48,36,564,170
11,49,37,871,494
11,50,38,745,371
11,51,39,1082,692
11,52,40,650,123
11,53,41,959,428
11,54,42,854,283
11,55,43,1156,575
11,56,44,599,226
11,57,45,905,536
11,58,46,796,420
11,59,47,1109,746
11,60,48,702,92
11,61,49,986,399
11,62,50,892,273
11,63,51,1214,610
12,14,1,470,371
12,15,2,734,263
12,16,3,140,590
12,17,4,434,171
12,18,5,320,501
12,19,6,593,374
12,20,7,226,670
12,21,8,549,123
12,22,9,431,379
12,23,10,730,285
12,24,11,175,642
12,25,12,442,218
12,26,13,377,498
12,27,14,667,422
12,28,15,261,686
12,29,16,568,92
12,30,17,474,386
12,31,18,789,272
12,32,19,134,545
12,33,20,423,178
