m1,m2,len,depth_oracles,depth_addition
0.0,2.0,1.0,7.0,75.0
0.0,3.0,2.0,42.0,44.0
0.0,4.0,3.0,1.0,79.0
0.0,5.0,4.0,38.0,38.0
0.0,6.0,5.0,7.0,75.0
0.0,7.0,6.0,42.0,44.0
1.0,3.0,1.0,80.0,75.0
1.0,4.0,2.0,39.0,44.0
1.0,5.0,3.0,76.0,79.0
1.0,6.0,4.0,45.0,38.0
1.0,7.0,5.0,80.0,75.0
2.0,4.0,1.0,8.0,75.0
2.0,5.0,2.0,45.0,44.0
2.0,6.0,3.0,14.0,79.0
2.0,7.0,4.0,49.0,38.0
3.0,5.0,1.0,80.0,75.0
3.0,6.0,2.0,49.0,44.0
3.0,7.0,3.0,84.0,79.0
4.0,6.0,1.0,8.0,75.0
4.0,7.0,2.0,43.0,44.0
5.0,7.0,1.0,80.0,75.0
0.0,2.0,1.0,7.0,75.0
0.0,3.0,2.0,42.0,44.0
0.0,4.0,3.0,1.0,79.0
0.0,5.0,4.0,38.0,38.0
0.0,6.0,5.0,7.0,75.0
0.0,7.0,6.0,42.0,44.0
1.0,3.0,1.0,80.0,75.0
1.0,4.0,2.0,39.0,44.0
1.0,5.0,3.0,76.0,79.0
1.0,6.0,4.0,45.0,38.0
1.0,7.0,5.0,80.0,75.0
2.0,4.0,1.0,8.0,75.0
2.0,5.0,2.0,45.0,44.0
2.0,6.0,3.0,14.0,79.0
2.0,7.0,4.0,49.0,38.0
3.0,5.0,1.0,80.0,75.0
3.0,6.0,2.0,49.0,44.0
3.0,7.0,3.0,84.0,79.0
4.0,6.0,1.0,8.0,75.0
4.0,7.0,2.0,43.0,44.0
5.0,7.0,1.0,80.0,75.0
